id,question,answer,citations,status,notes
32,What policy governs referral management in the Military Health System?,"nce-Center/Policies/2013/04/09/Medical-Management-MM-Programs-in-the-Direct-Care-System-DCS-and-Remote-Areas"" target=&quot;_blank&quot;>DODI 6025.20</a>

                                            </td>

                                                                            <td>Medical Management Programs in the Direct Care System and Remote Areas</td>

                                    <td>Establishes policy, assigns responsibilities, and prescribes uniform guidelines, procedures, and standards for the implementation of clinical case management (CM) in the Military Health System (MHS), for TRICARE beneficiaries including care of the wounded, ill, and injured (WII) in accordance with the authority in Reference (b) and DODI 1300.24 (Reference (f)).</td>

                                    <td>04/09/2013</td>

                                        <td>DoD</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/ ef=""/Reference-Center/Policies/2012/03/26/Continuity-of-Behavioral-Health-Care-for-Transferring-and-Transitioning-Service-Members"" target=&quot;_blank&quot;>DODI 6490.10</a>

                                            </td>

                                                                            <td>Continuity of Behavioral Health Care for Transferring and Transitioning Service Members</td>

                                    <td>In accordance with the authority in Reference (a), this Instruction establishes policy for the Military Departments, assigns responsibilities, and prescribes guidelines for establishment of Military Department policy and procedures to ensure continuity of behavioral health (BH) care at the losing and gaining installations when Service members transition from one health care provider (HCP) to another when transferring to a new duty station or transitioning out of the Service.</td>

                                    <td>03/26/2012</td>

                                        <td>DoD</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th> in various pain management programs. Each Military Department shall establish its own policy for their MTFs to request approval to add chiropractic services or to transfer chiropractic authorizations to other MTFs.</td>

                                    <td>03/18/2013</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2013/03/11/Implementation-of-Military-Health-System-Governance-Reform"" >OSD002010-13</a>

                                            </td>

                                                                            <td>Implementation of Military Health System Governance Reform</td>

                                    <td>This memorandum directs implementation of the Military Health System (MHS) governance reform outlined in my memorandum of March 2, 2012, &quot;Planning for Reform of the Governance of the <td>This policy requires first call resolution for all patients requesting appointments at all Air Force medical treatment facilities. Under this policy, beneficiaries will not be asked to call back for an appointment.</td>

                                    <td>06/05/2015</td>

                                        <td>Air Force</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Instruction</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2015/05/14/Interagency-Complex-Care-Coordination"" target=&quot;_blank&quot;>DODI 6010.24</a>

                                            </td>

                                                                            <td>Interagency Complex Care Coordination</td>

                                    <td>This instruction establishes policy and assigns responsibility for complex care coordination between the Department of Defense and Department of Veterans Affairs.</td>","DHA Policies Directory — DHA Policies Directory — section.nce-Center/Policies/2013/04/09/Medical-Management-MM-Programs-in-the-Direct-Care-System-DCS-and-Remote-Areas"" target=&qu — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.ef=""/Reference-Center/Policies/2012/03/26/Continuity-of-Behavioral-Health-Care-for-Transferring-and-Transitioning-Servic — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.in various pain management programs. Each Military Department shall establish its own policy for their MTFs to request a — https://www.health.mil/Reference-Center/Policies",OK,Extracted from top-ranked chunks.
33,How is access to care performance reported to DHA?,"report will be cut and 
pasted into Essentris; otherwise, provider will place report directly into Essentris. The report is 
automatically transmitted into BHIE. (Added)   If transcribed, the complete full operative report will be signed by the 
provider within 24 hours of being transcribed. CRAIG LAMBERT, Colonel, USAF, MSC
Administrator

12 AFMAN41-210_59MDWSUP 7 JANUARY 2021 
Attachment 1  
GLOSSARY OF REFERENC ES AND SUPPORTING IN FORMATI ON 
References  
DHA -PM 6025.13, Clinical Quality Management in the Military Health System,  1 October 2019  
AFI 41 -200, Health Insurance Portability and Accountability Act (HIPPA), 25 July 2017  
59MDWI 44 -115, Pharmacy & Medication Management , 13 November 2020  
59MDWI 51 -302, Informed Consent and Refusal of Care, 6 November 2020  
59 MDW Visual Aid 44 -107, Do Not Use Abbreviations, 12 July 2018  
DoDM 6025.18, Implementation of the Health Insurance Portability and Accountability Act 
(HIPAA) Privacy Rule in DOD Health  Care Programs , 13 March 2019  
Prescribed Forms  
59 MDW Form 175, Authorization/Treatment Statement  
59 MDW Form 1251, Anesthesia Preoperative Evaluation  
59 MDW Form 3326, 59th Medical Wing Admission and Disposition Requirements. The Admissions and 
Dispositions Office will verify authorized eligibility for healthcare for 100% of inpatient 
admissions.",afman41-210_59mdwsup — afman41-210_59mdwsup — section.report will be cut and — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\afman41-210_59mdwsup.pdf; DAFMAN41-210 — dafman41-210 — section.Admission and Disposition Requirements.   The Admissions and — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafman41-210.pdf,OK,Extracted from top-ranked chunks.
34,What instruction governs beneficiary travel reimbursement?,"ignment is not reimbursed unles s 
it is in the Government’s interest, such as would be the case for an eligible traveler with a medical or special need. Transoceanic Ship Travel . Reimbursement for a traveler who uses unauthorized or 
unapproved transoceanic ship travel is limited to the policy -constructed cost. The policy- constructed cost 
is the sum of the transportation cost and the TMC fee that the Government would have incurr ed if travel 
had been performed using the authorized transportation type. Miscellaneous Reimbursable Expenses Associated with Commercial Air, Train, Ship, or Bus. Commercial air, train, ship, or bus reimbursable transportation expenses consist of: 
 
1.",JTR — JTR — section.ignment is not reimbursed unles s — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\JTR.PDF,OK,Extracted from top-ranked chunks.
35,What policy governs civilian network partnerships?,"the geographical location OCONUS because his or her spouse is there as a member of a uniformed Service, a State Department Foreign Service member, a private individual, or a civilian  
employee of a private individual or non-Federal organization. A renewal agreement must not be negotiated with a locally hired civilian  employee 
who is unmarried and under age 21 whose parent is in the geographical location OCONUS as a member of a uniformed Service, a State Department Foreign Service member, a private individual, or a civilian  
employee of a private individual or a non-Federal organization. Intro    Chapter 1    Chapter 2    Chapter 3    Chapter 4    Chapter 5    Chapter 6    Appendix A    Appendix B  
 
 
02/01/2026  5G-9 
 054909. Renewal Agreement Negotiation 
 
A. Civilian  Employees . A renewal agreement is negotiated with a civilian  employee  who has an 
initial agreement when the tour of duty at a PDS OCONUS is completed satisfactorily and who has an 
actual residence outside the geographical employment locality.","JTR — JTR — section.the geographical location OCONUS because his or her spouse is there as a member of a uniformed Service, a State Departme — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\JTR.PDF",OK,Extracted from top-ranked chunks.
36,What AFI governs MTF operating hours?,"The DME, working with the program directors and the Graduate Medical Education Committee 
(GMEC), develops this policy, and the MTF Director/ CC approves it. AFI41 -117  31 AUGUST 2023  7 
1.6. Correspondence with Civilian Organizations. MTF Director/ CC, DMEs , and program 
directors may correspond directly with national civilian organizations concerning accreditation of 
current or proposed education programs conducted in the MTF, in accordance with DHA policy, 
and must ensure organization is not under a corpo rate integrity agreement or on the Inspector 
General Sanction List. ( T-0) This correspondence cannot alter or circumvent USAF directives on 
health education. GMEC must record correspondence in the minutes.",AFI41-117 — afi41-117 — section.-1). — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\afi41-117.pdf,OK,Extracted from top-ranked chunks.
37,What guidance governs same-day access standards?,"<th scope=""row"">Federal Regulation</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2003/04/09/68-Fed-Reg"" target=&quot;_blank&quot;>68 Fed. 17357-58</a>

                                            </td>

                                                                            <td>68 Fed. 17357-58</td>

                                    <td>Under 45 CFR part 164, &quot;Standards for Privacy of Individually Identifiable Health Information&quot; and DOD 6025.18–R, &quot;DOD Health Information Privacy Regulation&quot; provisions are made to allow appropriate uses and disclosures of protected health information concerning members of the armed forces to assure the proper execution of the military mission, provided that the DOD publishes in the Federal Register a notice describing implementation of these provisions. This notice implements those provisions (refer to pages 17357-58).</td>

                                    <td>04/09/2003</td>

                                        <t ION  
References  
Title 10, United States Code Section 1089  
Title 28 , United States Code Section 1346(b), 2671 -2680  
Title 28, United States Code Section  2671 -2680  
Title 32, United States Code Section 316, 502 -505 
PL 114 -328, National Defense Authorization Act for Fiscal Year 2017 , Section 708, 23 
December 2016  
PL 115 -232, The John S. McCain National Defense Authorization Act for Fiscal Year 2019 , 
Section 708, 13 August 2018  
DoDD 5400.11, DoD Privacy and Civil Liberties Program , 29 January 2019  
DoDI 6025.18, Health Insurance Portability and Accountability Act (HIPAA) Privacy Rule 
Compliance in DoD Health Care Programs , 13 March 2019  
AFPD 44 -1, Medical Operations, 9 June 2016  
AFI 25 -201, Intra -Service, Intra -Agency, and Inter -Agency Support Agreements Procedures , 18 
October 2013  
AFI 51 -302, Medical Law, 17 August 2018  
AFI 33 -322, Records Management and Information Governance Program , 23 March 2020  
DAFMAN 90 -161, Publishing Processes and Procedures , 18 October 2023  
Defense Federal Acquisition Regulation Supplement,  Subpart 237.73, Services of Students at 
Research and Development Laboratories, 26 March 2024  
DHA -Interim Procedures","DHA Policies Directory — DHA Policies Directory — section.<th scope=""row"">Federal Regulation</th> — https://www.health.mil/Reference-Center/Policies; AFMAN41-108 — afman41-108 — section.ION — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\afman41-108.pdf",OK,Extracted from top-ranked chunks.
38,What instruction governs virtual health operations?,"dation, and Accreditation</td>

                                    <td>This instruction establishes policy, assigns responsibilities, and prescribes procedures for the VV&amp;A of models, simulations, distributed simulations, and their associated data. </td>

                                    <td>12/09/2009</td>

                                        <td>DoD</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Instruction</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2009/12/02/Privacy-of-Individually-Identifiable-Health-Information-in-DoD-Health-Care-Programs"" target=&quot;_blank&quot;>DODI 6025.18</a>

                                            </td>

                                                                            <td>Privacy of Individually Identifiable Health Information in DOD Health Care Programs </td>

                                    <td>Establishes policy and assigns responsibilities for implementation of the standard <td>This memorandum directs the continued implementation of the Military Health System organizational reform required by law, extending the authority, direction and control of all military hospitals and clinics not currently under Defense Health Agency authority to the DHA, to include military hospitals and clinics in overseas areas.</td>

                                    <td>02/24/2022</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Instruction</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2022/02/03/DOD-and-Department-of-Veterans-Affairs-Health-Care-Resource-Sharing-Program"" target=&quot;_blank&quot;>DoDI 6010.23</a>

                                            </td>

                                                                            <td>DOD and Department of Veterans Affairs Health Care Resource Sharing Program</td> td>Policy on Worldwide Use of the Theater Medical Information Program-Joint</td>

                                    <td>The purpose of this memorandum is to formally document policy on the use of the approved deployed electronic health record system, the Theater Medical Information Program-Joint (TMIP-J).</td>

                                    <td>11/03/2008</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum of Agreement</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2008/10/31/MOU-DoD-VA-Health-Care-Resource-Sharing-Guidelines"" ></a>

                                            </td>

                                                                            <td>Health Care Resource Sharing Guidelines</td>

                                    <td>The Secretary of Veterans Affairs and the Secretary of Defense shall enter into agreements for the mutually beneficial c n the Military Health System 12-010</td>

                                    <td>In order to facilitate the expansion of telemedicine services in the Military Health System, this memorandum waives selective provisions of Department of Defense 602S.13-R, &quot;Clinical Quality Assurance in the Military Health System,&quot; June 11 , 2004. This waiver is conditioned on the specific provisions of this memorandum, and shall remain in effect, unless modified or revoked, until the cancellation and reissuance of DOD 602S.13-R, or the issuance of a Department of Defense Instruction for or including telemedicine.</td>

                                    <td>12/21/2012</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Guideline</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2012/11/01/Medical-Planning-and-Programming-Lexicon"" ></a>

                                            </td>","DHA Policies Directory — DHA Policies Directory — section.dation, and Accreditation</td> — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.<td>This memorandum directs the continued implementation of the Military Health System organizational reform required by — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.td>Policy on Worldwide Use of the Theater Medical Information Program-Joint</td> — https://www.health.mil/Reference-Center/Policies",OK,Extracted from top-ranked chunks.
39,What policy governs telehealth credentialing?,"tion for our beneficiaries; outlines use of alternative portals such as Army Medicine Secure Messaging, Nurse Advice Line and TRICARE Online; specific procedures are also identified to correctly transfer calls in accordance with existing access to care standards, referral management protocols, and proper use of managing clinic schedules to ensure appointing success the first time one of our patients seeks access.</td>

                                    <td>04/02/2015</td>

                                        <td>Army</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Instruction</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2015/03/27/Credentialing-and-Privileging-Program"" target=&quot;_blank&quot;>6010.03</a>

                                            </td>

                                                                            <td>Credentialing and Privileging Program</td>

                                    <td>This instruction <td>DOD Policy for Delivery of Medical Care During Pandemics and Other Public Health Emergencies of National Significance</td>

                                    <td>Public health emergencies of national significance such as an influenza pandemic will resuIt in surge requirements that overwhelm the response capacity, capability, and resources of both medical facilities and health care providers. Under these conditions, alternate standards of care will be adopted, and difficult decisions regarding the allocation of limited resources will be required. </td>

                                    <td>09/01/2008</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2008/08/26/Credentialing---Authorization-of-Providers-on-Operational-Platforms"" >08-009</a>

                                            </td> enter/Policies/2008/08/26/Credentialing---Authorization-of-Providers-on-Operational-Platforms"" >08-009</a>

                                            </td>

                                                                            <td>Credentialing and Authorization of Providers on Operational Platforms</td>

                                    <td>For humanitarian assistance involving the delivery of medical care and under the authority outlined in Reference (a), this policy specifies the responsibilities and documentation required for providers to be credentialed

and authorized to participate in foreign humanitarian missions. </td>

                                    <td>08/26/2008</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2008/07/29/Policy-for-Increase-in-the-Maximum-Annual-Amount-Paid-Under-Active-Duty-HP","DHA Policies Directory — DHA Policies Directory — section.tion for our beneficiaries; outlines use of alternative portals such as Army Medicine Secure Messaging, Nurse Advice Lin — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.<td>DOD Policy for Delivery of Medical Care During Pandemics and Other Public Health Emergencies of National Significanc — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.enter/Policies/2008/08/26/Credentialing---Authorization-of-Providers-on-Operational-Platforms"" >08-009</a> — https://www.health.mil/Reference-Center/Policies",OK,Extracted from top-ranked chunks.
40,Who oversees TRICARE operations at the MTF level?,"rs of arrival, or the next duty day if arriving on a weekend or holiday. All 
service members traveling to attend official medical -related appointments or treatment are 
required to contact the MTF TRICARE Operations and Patient Administration function 
every two weeks to revalidate their orders.” (T-3). Patient Travel Benefit. Travel Reimbursement/Funding. For patients enrolled to an MTF, the travel benefit is 
administered by the MTF. For patients enrolled to a network Primary Care Manager, the 
TRICARE regional office administers the travel benefit.","DAFMAN41-210 — dafman41-210 — section.rs of arrival, or the next duty day if arriving on a weekend or holiday. (T-1). All — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafman41-210.pdf",OK,Extracted from top-ranked chunks.
41,What AFI governs manpower programming?,"Staff of the Air Force for Manpower, Personnel and Services 
(AF/A1). ................................ ................................ ................................ Military Compensation Policy Division, Headquarters Air Force (AF/A1PA). Air Force Director of Training and Readiness (AF/A3T).","DAFI36-2903 — dafi36-2903 — section.Staff of the Air Force for Manpower, Personnel and Services — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi36-2903.pdf",OK,Extracted from top-ranked chunks.
42,Who approves manpower change requests?,"In the waiver request explain the reason for the exception, state the proposed 
person’s name and confirm the person is capable of added responsibility. AFMRA MEPRS provides approval/disapproval and returns the request for the 
MPM’s records. These tasks could potentially be performed by one or more persons, if multiple 
POCs are used, identify them separately on the appointment letter with responsible task 
(DMHRS i, workload or financial). Note:  It is crucial that the supervisors be involved with DMHRS i template development and the 
time/labor reporting process. In support of that requirement, the individual listed as the 
""Superv isor"" in an individual's Human Resource ( HR) record in DMHRS i receives a  courtesy  
notification via DMHRS i worklist of the timecard their subordinate submitted each pay period. Validate and approve all work center data collection processes for thei r 
Flights/Elements when required, but at least annually.",AFI41-102 — afi41-102 — section.PRS.  (T-1) — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\afi41-102.pdf,OK,Extracted from top-ranked chunks.
43,What guidance governs UMD accuracy?,"The AF facility DME should ensure that 
the consortium’s due process procedures a re comparable to DHA and Service policy. The 
program director or DME can often improve student performance before it becomes necessary 
to extend or terminate training. Program directors will counsel, monitor improvement plans and assist student s to 
overcome any deficiencies. DMEs and program directors will document any discretionary actions taken 
before going on to more serious actions that could extend or terminate training. DMEs  and program directors will discuss such discretionary actions with the 
student and document the actions in the student’s education record. The program director will inform the DME and, if necessary, the GMEC, of 
discretionary actions.",AFI41-117 — afi41-117 — section.The AF facility DME should ensure that — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\afi41-117.pdf,OK,Extracted from top-ranked chunks.
44,What instruction governs civilian hiring authorities?,"lowing have authority to negotiate 
agreements:  
 
1. Commanding officers, and their civilian counterparts having appointing authority to fill 
positions. Any civilian personnel office civilian  employee  designated to act for a commanding 
officer in effecting appointments. Intro    Chapter 1    Chapter 2    Chapter 3    Chapter 4    Chapter 5    Chapter 6    Appendix A    Appendix B  
 
 
02/01/2026  5G-6 
 3. Other personnel designated by the commanding officer to act for the commanding officer 
in response to specific requests. A local commander in a foreign area may negotiate an initial agreement with a locally 
hired civilian  employee  if the requirements in Table 5 -104 are met.",JTR — JTR — section.lowing have authority to negotiate — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\JTR.PDF,OK,Extracted from top-ranked chunks.
45,What policy governs contract manpower integration?,"nt in an area 
OCONUS. An individual is not automatically granted an initial agreement when he or she meets 
eligibility requ irements. Initial Service Agreement Requirements. The commanding officer, or the commanding 
officer’s designee, must determine that another candidate would have to be transferred or appointed from 
outside the local area to fill the position involved unless an initial agreement is offered to a locally hired 
candidate. A locally hired candidate is ineligible for an initial agreement if the position is one for which 
out-of- country recruitment is not normally undertaken. At the time of appointment or assignment, or 
when eligibility for return travel is lost, the locally hired candidate mu st be able to prove actual residence 
in the CONUS or a non -foreign area OCONUS.",JTR — JTR — section.nt in an area — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\JTR.PDF,OK,Extracted from top-ranked chunks.
46,What AFI governs position classification?,"Symbols  
AF/A1LG —Air Force General Office Management Office  
AF/A1LO —Air Force Colonel Management Office  
AF/DSG —Air Force Deputy Surgeon General  
AF/SG —Air Force Surgeon General  
AF/SGMED —Air Force Surgeon General Office of Policy and Resources Directorate  


20 AFI41 -109  8 APRIL 2025  
AF/SG1/7 —Force Management and Development Division  
ASD(HA) —Assistant Secretary of Defense for Health Affairs  
SAF/MR —Secretary of the Air Force for Manpower and Reserve Affairs  
Terms  
Active Duty Service Commitment ( ADSC) —The ADSC serves as a personnel management and 
control system to help maintain a trained and experienced force. It helps ensure the AF receives a 
return in terms of active service for training and education IAW Air Force Manual 36 -2100, 
Military Utilization and Classification . Consolidated Special Pays ( CSP) —Those S&I pays defined under Title 37 United States Code 
Chapter 5, Subchapter II, Consolidation of Special Pay, Incentive Pay, and Bonus Authorities. Entitlement —Those S&I pays defined in statute with or without a service obligation where the 
service must pay, but cannot set the rate. Fully Qualified (Specialty) (definition varies by Co ir Force 
(SecAF) to distinguish it from the uniform worn by Regular Air Force (RegAF), Air National 
Guard (ANG), and Air Force Reserve (AFR) Airm en.",AFI41-109 — afi41-109 — section.Symbols — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\afi41-109.pdf; DAFI36-2903 — dafi36-2903 — section.ir Force — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi36-2903.pdf,OK,Extracted from top-ranked chunks.
47,What instruction governs manpower determinant codes?,"correct OSC is being utilized. 522F | GPM | MH | 5300 | Aerosp Med Cmd | AO | First 2 digits; Servicing MPF | SGPW | Aeromedical Staging | SGOJ | Bio Env Eng
522G | HCI | MH | 5310 | Flight  Med | AO | SGPZ | Health Promotion | SGOK | Clinical Medicine
5220 | Emergency | SC | 5311 | Bio Env Eng | AO | Next 2 digits; MAJCOM code | SGPJ | Trainee Health | SGOL | Public Health
5221 | Phy Therp | SC | 5312 | Occ Med | AO | SGPU | Drug Demand Reduction | SGOM | Medical Services
5222 | Ambulance | SC | 5313 | Public Health | AO | SGPI | Trainee Hlth Surveillence | SGON | Occupational Medicine
5223 | Family Prac | MH | 5314 | Readiness | MR | Last 4 digits; Actual Personnel Accounting Symbol (PAS) | SGPK | Behavior Analysis Service | SGOT | Educ Dev Intervention Svc
5224 | GPM/HCI | MH | 5318 | PHA | AO | SGPB | Bioenvironmental Eng | SGOO | Optometry
5225 | Fam Prac Res | MH | 5319 | Optometry | AO | SGPP | Personnel Reliability Prg | SGOP | Primary Care
5226 | Trainee Hlth | MH | 5320 | PRP | AO
=== SHEET: Quick Rvw Sheet 2 ===
MANPOWER QUICK REFERENCE GUIDE
Medical Enlisted AFSCs | Medical Officer AFSC | Medical Officer AFSC | Medical Officer AFSC | Medical Officer AFSC | Common UMD F lable matching resources have been 
exhausted. Unless prohibited by line remarks or the UTC MISCAP, personnel 
with two skill levels higher or one skill level lowe r may satisfy enlisted UTC 
requirements. Officers may be substituted two grades higher or two grades lower, 
except for O -6s. Medical Corps O -6 officers may be tasked to fill non -O-6 
requirements; however, for all other specialties, O -6s must fill O -6 grad e requirements.",AFMS Manpower Reference Guide — AFMS Manpower Reference Guide — section.correct OSC is being utilized. — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\AFMS Manpower Reference Guide.xlsx; DAFI41-106 — dafi41-106 — section.lable matching resources have been — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-106.pdf,OK,Extracted from top-ranked chunks.
48,How are manpower requirements validated?,"), occupational standards, mission capability statement (MISCAPs), designed 
operational capability (DOC ) statements, and historical mission data. Output - list of physical 
job demands. Step 2 – Develop Physical Task Simulations . The Development Team uses the 
physical job demands from Step 1 to develop physical task simulations, which are used to 
replicate an Airman’s performance of physical job demands. A minimum passing score must 
be assigned to each physical task simulation. Note:  At this point in the process, there may be 
more than one physical task simulation aligned to a physical job demand.","DAFMAN36-2905 — dafman36-2905 — section.), occupational standards, mission capability statement (MISCAPs), designed — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafman36-2905.pdf",OK,Extracted from top-ranked chunks.
49,What policy governs medical unit restructuring?,"<td>This policy memorandum replaces HA Policy: 03-021, HA Policy: 03-005, and HA Policy: 03-001.</td>

                                    <td>11/09/2007</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum of Understanding</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2007/10/31/MOU-Federal-Recovery-Coordination-Program"" ></a>

                                            </td>

                                                                            <td>Federal Recovery Coordination Program</td>

                                    <td>This MOU applies to Wounded, Ill and Injured service members, veterans, and their families assigned to receive supplementary services under the FRCP. Its focus is on the activities of the Federal Recovery Coordinator in the execution of the clinical and non-clinical case/care management services identified in nce-Center/Policies/2013/04/09/Medical-Management-MM-Programs-in-the-Direct-Care-System-DCS-and-Remote-Areas"" target=&quot;_blank&quot;>DODI 6025.20</a>

                                            </td>

                                                                            <td>Medical Management Programs in the Direct Care System and Remote Areas</td>

                                    <td>Establishes policy, assigns responsibilities, and prescribes uniform guidelines, procedures, and standards for the implementation of clinical case management (CM) in the Military Health System (MHS), for TRICARE beneficiaries including care of the wounded, ill, and injured (WII) in accordance with the authority in Reference (b) and DODI 1300.24 (Reference (f)).</td>

                                    <td>04/09/2013</td>

                                        <td>DoD</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/ im Policy for the Active Duty Health Professions Loan Repayment Program. This revises policy 98-018</td>

                                    <td>06/26/2003</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2003/05/30/Policy-for-the-Operation-Iraqi-Freedom-Depleted-Uranium--DU--Medical-Management"" >03-012</a>

                                            </td>

                                                                            <td>Policy for the Operation Iraqi Freedom Depleted Uranium Medical Management</td>

                                    <td>This policy outlines the military Services responsibilities for the DU Medical Management program.</td>

                                    <td>05/30/2003</td>

                                        <td>Health Affairs</td>

                                </tr> ef=""/Reference-Center/Policies/2012/03/26/Continuity-of-Behavioral-Health-Care-for-Transferring-and-Transitioning-Service-Members"" target=&quot;_blank&quot;>DODI 6490.10</a>

                                            </td>

                                                                            <td>Continuity of Behavioral Health Care for Transferring and Transitioning Service Members</td>

                                    <td>In accordance with the authority in Reference (a), this Instruction establishes policy for the Military Departments, assigns responsibilities, and prescribes guidelines for establishment of Military Department policy and procedures to ensure continuity of behavioral health (BH) care at the losing and gaining installations when Service members transition from one health care provider (HCP) to another when transferring to a new duty station or transitioning out of the Service.</td>

                                    <td>03/26/2012</td>

                                        <td>DoD</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>","DHA Policies Directory — DHA Policies Directory — section.<td>This policy memorandum replaces HA Policy: 03-021, HA Policy: 03-005, and HA Policy: 03-001.</td> — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.nce-Center/Policies/2013/04/09/Medical-Management-MM-Programs-in-the-Direct-Care-System-DCS-and-Remote-Areas"" target=&qu — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.im Policy for the Active Duty Health Professions Loan Repayment Program. This revises policy 98-018</td> — https://www.health.mil/Reference-Center/Policies",OK,Extracted from top-ranked chunks.
50,What guidance governs manpower assist visits?,"d tracking of all personnel assigned and attached. Assist, as necessary, with lodging and resolving related issues. Assist, as necessary, with pay and finance issues. Assist, as necessary, with career milestones activities such as promotion and 
retirements ceremonies. Ensure patient goes to their medical appointments and if necessary, assist 
patient in getting to their appointments. Provide patient with a 24 -hour point of contact for the AGMTU.",DAFMAN41-210 — dafman41-210 — section.d tracking of all personnel assigned and attached. — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafman41-210.pdf,OK,Extracted from top-ranked chunks.
51,What AFI governs performance evaluations?,"FI 3 6-2406, Officer and Enlisted 
Evaluation Systems . Use of this form is limited to the master personnel record for selection 
boards and other personnel actions. Program directors must review DAFI 36 -2406 for appropriate language if a 
trainee fail s to complete the course of training. Guidance on referral training report commander notifications and procedures is 
provided in DAFI 36 -2406. Program directors must ensure appropriate procedures are 
followed. Periodic Eva luations.","AFI41-117 — afi41-117 — section.FI 3 6-2406, Officer and Enlisted — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\afi41-117.pdf",OK,Extracted from top-ranked chunks.
